DATASET_DOMAINS
SEPARATOR COMMA
DATASET_LABEL,Domains
RJE23969.1,412
KAJ5595938.1,415
XP_056829057.1,416
XP_056804554.1,414
KAJ5339083.1,393
XP_002483103.1,408
KAF3395447.1,408
KAJ5173389.1,411
KAJ6134914.1,412,HH|122|353|#7df62d|PF00264_Common central domain of tyrosinase
CAG8222037.1,395
CAG8006611.1,395
CAG7917407.1,395
CAG7947755.1,395,RE|1|26|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|105|336|#7df62d|PF00264_Common central domain of tyrosinase
KAE8554627.1,408
XP_054120934.1,408
EEA25936.1,408
XP_056830439.1,407
XP_001243418.2,411
EFW14572.1,411
GAM35591.1,740
BDD58815.1,410,RE|1|15|#27220e|SignalP-TM_SignalP-TM,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,HH|118|351|#7df62d|PF00264_Common central domain of tyrosinase
KUL89944.1,747
XP_040735702.1,751,HH|389|537|#ece9fe|PF03476_MOSC N-terminal beta barrel domain,RE|1|21|#27220e|SignalP-TM_SignalP-TM,RE|1|21|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|21|#eebe41|SignalP-noTM_SignalP-noTM,HH|596|735|#6cfd65|PF03473_MOSC domain,HH|115|349|#7df62d|PF00264_Common central domain of tyrosinase
XP_056930360.1,403
XP_057101912.1,366
XP_056818499.1,358
XP_056797454.1,401
PCH07910.1,1351
XP_002583089.1,411,RE|1|27|#27220e|SignalP-TM_SignalP-TM,RE|1|17|#eebe41|SignalP-noTM_SignalP-noTM,HH|119|352|#7df62d|PF00264_Common central domain of tyrosinase
XP_057064673.1,419
CAG8215017.1,395
CAG8947322.1,395
CAG8424640.1,395
XP_033689972.1,422
XP_057062779.1,390
EPS29555.1,411
KAJ5722394.1,404,HH|113|344|#7df62d|PF00264_Common central domain of tyrosinase
KAJ5609782.1,404
CAG8167697.1,395
KAJ6021820.1,404
CAG7960554.1,395
XP_056495893.1,400
KAJ6093390.1,371
KAJ5709302.1,404
OCL11957.1,422
CAG8304278.1,395
KIN03343.1,394
XP_022581810.1,391,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,HH|101|332|#7df62d|PF00264_Common central domain of tyrosinase
SPO00297.1,398
KAF2270939.1,422
XP_033573477.1,423
XP_024674776.1,412
XP_024696942.1,436,RE|1|26|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|121|353|#7df62d|PF00264_Common central domain of tyrosinase,EL|405|427|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.
PLN74794.1,412
KAI1136430.1,396
KAF2741570.1,408
KAF2831139.1,418
KAI1331377.1,388,RE|1|16|#27220e|SignalP-TM_SignalP-TM,RE|1|16|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|16|#eebe41|SignalP-noTM_SignalP-noTM,HH|92|325|#7df62d|PF00264_Common central domain of tyrosinase
KAJ4309931.1,419
KAF3039023.1,418
XP_056919573.1,378
KAJ4411405.1,418
KAJ6169963.1,340
OCL00806.1,421
KAJ5916184.1,358
KAF3054156.1,418
KAI1371304.1,402
CZR63593.1,401,RE|1|18|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|109|341|#7df62d|PF00264_Common central domain of tyrosinase
KAI2464903.1,396
XP_049972662.1,429
XP_056996166.1,370
OTA96559.1,396
KAJ5108440.1,372
KAH9871792.1,415
XP_003843575.1,415
KAJ4983125.1,418
OOQ91564.1,875,HH|719|810|#392063|PF12796_Ankyrin repeats (3 copies),HH|619|712|#392063|PF12796_Ankyrin repeats (3 copies),HH|481|575|#392063|PF12796_Ankyrin repeats (3 copies),RE|1|29|#eebe41|SignalP-noTM_SignalP-noTM,HH|819|871|#fe048a|PF13637_Ankyrin repeats (many copies),HH|122|355|#7df62d|PF00264_Common central domain of tyrosinase,EL|7|29|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.
KAI8199165.1,399
ORY08686.1,406
KAJ5644594.1,371
KAI1097551.1,396
OTA66034.1,396
XP_051311172.1,396
KAI1808720.1,397
XP_043151905.1,444,RE|1|27|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|203|385|#7df62d|PF00264_Common central domain of tyrosinase
KAJ4352926.1,419
KAJ4339181.1,418
KAI9163137.1,401,HH|105|339|#7df62d|PF00264_Common central domain of tyrosinase
XP_007836607.1,414
XP_056950144.1,390
PMD48149.1,393
KAJ4373481.1,418
CZR62661.1,393
KAF2109160.1,417
KAF4495081.1,403
KAF8858679.1,397
XP_056972840.1,371
OCK72918.1,437,RE|1|29|#27220e|SignalP-TM_SignalP-TM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|137|370|#7df62d|PF00264_Common central domain of tyrosinase
XP_038794674.1,415
KAJ5716854.1,404
XP_007689727.1,407
XP_057052304.1,424
KAI0114600.1,396
KAI8623979.1,412
KAJ5648559.1,370
KAJ8109137.1,593
KAF3009595.1,421
KAI5238085.1,404
XP_033448428.1,418
XP_045999870.1,418
KAJ5541661.1,423
PVI03373.1,409
KAH9209967.1,391,HH|103|332|#7df62d|PF00264_Common central domain of tyrosinase
KAF2708625.1,425
KAI5196879.1,404
XP_007695776.1,407
KAI5267756.1,404
XP_056561662.1,414
KAH6700608.1,391
KAH7379960.1,400,RE|1|26|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|23|#eebe41|SignalP-noTM_SignalP-noTM,HH|105|337|#7df62d|PF00264_Common central domain of tyrosinase
OTA98283.1,399
KAF1363488.1,419
KAI5247966.1,404
KAG9839396.1,404
KAI3571918.1,403
XP_013430240.1,404
XP_033519297.1,419
CEJ56725.1,414
KAF2752065.1,411
KAH0359647.1,404
KAI0377227.1,395
KAF2852353.1,415
KAJ5925591.1,375
KAH0259436.1,404
XP_007711456.1,407
KAG4415768.1,336
KAG9559839.1,404
XP_014560936.1,407
KAJ0129220.1,452,HH|158|391|#7df62d|PF00264_Common central domain of tyrosinase
KAJ6283033.1,407
XP_056780109.1,399
KAI1412787.1,393
KAH6889819.1,403
XP_056544107.1,404
KAF4312174.1,413,RE|1|26|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|116|354|#7df62d|PF00264_Common central domain of tyrosinase
PYH87476.1,242
KAG9655065.1,404
KAI1440183.1,396
KAI1456263.1,396
KAJ6011489.1,786,HH|596|682|#0cd9a3|PF13813_Membrane bound O-acyl transferase family,HH|69|307|#7df62d|PF00264_Common central domain of tyrosinase,EL|676|698|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|650|672|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|507|529|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|723|742|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|762|784|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.
KAI4756058.1,404
KAH0345099.1,404
KAF7719048.1,433
KAG9645464.1,404
KAG9516991.1,404
KAG9591284.1,404
XP_014081057.1,407
XP_013341845.1,377
KAF2691729.1,413
XP_003654863.1,414
KAI5199680.1,404
CAD0096503.1,404
CAI6335949.1,405
XP_051372409.1,396
SPQ24201.1,414
OWP00033.1,401
KAF2192260.1,420
XP_049166886.1,394
KAI0895143.1,396
KAF2007260.1,408
XP_052999027.1,448,RE|1|21|#eebe41|SignalP-noTM_SignalP-noTM,HH|152|386|#7df62d|PF00264_Common central domain of tyrosinase
OTB18066.1,396
XP_047790614.1,398
KAF2030071.1,398
USP81536.1,407
KAI8960346.1,396
XP_046113357.1,404
PVH84097.1,336
KAH8887135.1,410,HH|114|348|#7df62d|PF00264_Common central domain of tyrosinase
XP_047864704.1,396
KAI1476396.1,396
KAI4738981.1,404
KAI6711691.1,401
KAH7076402.1,416
KAI8937112.1,412
KAI1846174.1,394
XP_049096341.1,396
KAJ6198756.1,532,HH|238|471|#7df62d|PF00264_Common central domain of tyrosinase
KAI2631346.1,396
KAI6082173.1,394
XP_047814339.1,396
KAI1763534.1,394
KAG9202473.1,418
KAI3397142.1,445
KAK1687662.1,413
KAI0174001.1,393
KAI5918141.1,405
KAI1859075.1,394
XP_033598189.1,414,RE|1|20|#27220e|SignalP-TM_SignalP-TM,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,HH|123|354|#7df62d|PF00264_Common central domain of tyrosinase
KAI1638296.1,409
KAI6913090.1,358
KAK1920200.1,398
OKO98751.1,386
KAI1484838.1,409
OSS46640.1,418
CAA9962750.1,412
EFQ96484.1,412
XP_045954275.1,394
KAH8204444.1,405,HH|103|333|#7df62d|PF00264_Common central domain of tyrosinase
KAH7127011.1,422
RMY15069.1,412,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,HH|117|350|#7df62d|PF00264_Common central domain of tyrosinase
XP_057008780.1,415
KAH7069317.1,416
KAI4860409.1,393
XP_049156999.1,396
KAI2780125.1,396
KAH8732980.1,415
XP_056944396.1,379
PVH67724.1,395
WDK13942.1,432
KAI4852206.1,403
XP_033435495.1,395
KAK1600222.1,432
KAF3015897.1,1555
XP_024737992.1,391
KAI1245877.1,412
KAJ6028194.1,392
KAI4604419.1,882,HH|100|330|#7df62d|PF00264_Common central domain of tyrosinase
KAK0649242.1,343
XP_047852333.1,413,HH|101|332|#7df62d|PF00264_Common central domain of tyrosinase
KAI3556629.1,412
KAI7210867.1,358
KAI7266536.1,358
XP_028503611.1,414
XP_051349316.1,413
KAF1940908.1,416
XP_009853628.1,406,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|102|338|#7df62d|PF00264_Common central domain of tyrosinase
KAI0121925.1,395
KAG9193783.1,405
KAI7549418.1,358
XP_051331695.1,413
KAF2868002.1,423
KAJ5540198.1,319
KAH7408142.1,417
KAI7191738.1,358
KAI7508884.1,358
KAI7085904.1,358
XP_049242752.1,413
XP_049230729.1,413
KAI7199588.1,299
XP_049209514.1,413
XP_049189787.1,413
XP_049220282.1,413
KAI4607906.1,413
XP_001932707.1,412
KAI7324828.1,358
EMR70876.1,440,RE|1|19|#27220e|SignalP-TM_SignalP-TM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|113|348|#7df62d|PF00264_Common central domain of tyrosinase
KAK0377692.1,412
KAI6821547.1,358
KAI7494874.1,358
KAI6817802.1,358
XP_001728070.2,402
KAI7366920.1,358
XP_049199560.1,413
OAL07693.1,421
KAI6844080.1,358
KAI7202676.1,412
RMZ02035.1,339
KAI7157717.1,344
XP_033390318.1,415
KAB2110256.1,414
XP_038789943.1,414
XP_051587108.1,414
XP_018384461.1,414
KAI7481688.1,358
RMZ67659.1,371
XP_035371313.1,391
KAI7558977.1,358
RYN49060.1,414
RMY76114.1,412
OTA22209.1,412
KAI6856088.1,361
KAF9640731.1,391
KAJ4401743.1,401
TQB76544.1,384
RMY81928.1,412
RMY60095.1,412
XP_046030301.1,413
KAK0659284.1,411
KAI6884203.1,358
KAH7364797.1,398
RMY83083.1,412
KAI7237977.1,358
KAI6799274.1,358
KAF2084790.1,404,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|104|337|#7df62d|PF00264_Common central domain of tyrosinase
KAH6716261.1,398
KAF3386926.1,415
KAI7200552.1,358
KAI7344795.1,358
XP_029753911.1,404
RMZ24710.1,339
KAB2578505.1,391
KAI6854346.1,358
XP_036501254.1,399
XP_001794983.1,408
KAI8314781.1,399
KAH6217254.1,408
RMX89202.1,412
KAF0332621.1,399
KAI8183232.1,399
KAI7199494.1,299
KAF4918908.1,399
KAH8666468.1,391
KAI1342836.1,401
KAI7352767.1,358
RSL73657.1,404
KNG49834.1,429,RE|1|23|#27220e|SignalP-TM_SignalP-TM,RE|1|20|#eebe41|SignalP-noTM_SignalP-noTM,HH|115|368|#7df62d|PF00264_Common central domain of tyrosinase
RAR08963.1,429
RSM02270.1,404
RMJ18206.1,403
PBP16779.1,403
KAI6806208.1,358
XP_033402099.1,402,HH|103|337|#7df62d|PF00264_Common central domain of tyrosinase
KAK2597212.1,319
KAF4344290.1,403
KAF6808451.1,405
KAF5011996.1,403
EQB47026.1,399
KAK2623625.1,401
EXF74289.1,409
OTA27654.1,412
PBP26802.1,404,RE|1|29|#27220e|SignalP-TM_SignalP-TM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|108|340|#7df62d|PF00264_Common central domain of tyrosinase
KAF4874652.1,399
KAF6803770.1,405
XP_023451981.1,446,HH|147|383|#7df62d|PF00264_Common central domain of tyrosinase
KAI1028702.1,403
XP_018238988.1,403
KAF9773939.1,403
KAI8713379.1,403
KAF4960968.1,403
KAF4830437.1,399
KAJ8105574.1,420
EGU81770.1,403
KAI1012415.1,403
KAJ0280444.1,348
KAK1729306.1,409
RSL50238.1,415
XP_031064393.1,403
KAK0611355.1,434,HH|139|371|#7df62d|PF00264_Common central domain of tyrosinase
ENH65258.1,403
KAJ0142599.1,422
KAF4440173.1,403
XP_033394457.1,410,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|113|347|#7df62d|PF00264_Common central domain of tyrosinase,EL|2|24|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.
KAH7211744.1,403
XP_049124304.1,682,HH|99|185|#7df62d|PF00264_Common central domain of tyrosinase,HH|377|620|#7df62d|PF00264_Common central domain of tyrosinase,HH|201|244|#7df62d|PF00264_Common central domain of tyrosinase
CZT13014.1,400
KAG7416809.1,403
KAH7629481.1,337
KXH47483.1,409
KAI8213560.1,319
KAK1513109.1,409
KXH51459.1,409
XP_035335521.1,409
UPL01964.1,403
XP_003047601.1,403
KAF5617929.1,403
KAF6830372.1,464
KAI8276508.1,319
KAJ9134128.1,401
KAJ0349004.1,319
XP_023624859.1,400,RE|1|23|#27220e|SignalP-TM_SignalP-TM,RE|1|23|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|23|#eebe41|SignalP-noTM_SignalP-noTM,HH|102|338|#7df62d|PF00264_Common central domain of tyrosinase
KAF5976307.1,391
KAI1046940.1,403
KAI7924943.1,404
XP_041684405.1,403
KAF5639383.1,403
SCV37414.1,403
XP_023434355.1,403
XP_046050316.1,403
KAF5679514.1,403
KAG4253419.1,403
XP_003712051.1,404
KAI8168135.1,355
KAK1834076.1,410,HH|114|348|#7df62d|PF00264_Common central domain of tyrosinase
KAF9693937.1,400
KAH9243215.1,410
KAH0375603.1,404
KAK1514570.1,409
KAI3544086.1,409
XP_046127818.1,403
KAF5251360.1,403
XP_053013728.1,403
KAK2009616.1,410
KAK1948752.1,410
XP_031086865.1,403
KDN67966.1,410
KAK1977218.1,410
ELQ42844.1,412,RE|1|22|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|22|#eebe41|SignalP-noTM_SignalP-noTM,HH|117|350|#7df62d|PF00264_Common central domain of tyrosinase
KAH0429969.1,410
XP_018164216.1,410
XP_007288815.1,400
CZT44807.1,400
XP_056793837.1,436
KAF5545603.1,403
TLD30685.1,404
KAJ5041757.1,400
XP_052908773.1,403
KAJ4329047.1,403
KAH0028048.1,404
CZT05846.1,400
KAF4983406.1,400
KAF4819633.1,410
XP_036539632.1,403
KAH6975421.1,404
KAF4850965.1,410
RKL41278.1,403
PNP84734.1,403
XP_046102550.1,404
XP_031882765.1,410
XP_008020803.1,344
XP_053041228.1,410
KAK1473543.1,409
KAK0751277.1,410
KAF4892807.1,410
KAF2197864.1,426
KAH7152948.1,404
KAF5579952.1,403
KAI4733670.1,413
KAF5595760.1,403
XP_018753490.1,403
XP_037186172.1,410
KAF5985863.1,403
XP_044676690.1,403
RBQ74432.1,403
KAF5673420.1,403
KAK1494506.1,409
SPJ70529.1,403
KAG5813759.1,403
KAF5562072.1,403
XP_008090189.1,410
KAJ4293127.1,412,RE|1|19|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|116|350|#7df62d|PF00264_Common central domain of tyrosinase
PSN70209.1,410
KAF5670413.1,403
XP_037205082.1,403
XP_045265812.1,410
KAH6994935.1,405
XP_030988016.1,404
KAJ0325721.1,389
KAI8243913.1,410
KAK1451882.1,409
XP_053055363.1,410
KAI8263679.1,410
KAF5705587.1,403
KZL85207.1,410
KXH67077.1,409
KAG9941268.1,404
KPM38127.1,404
KAH7141347.1,404
KZL68231.1,438
KAI4853547.1,404
KAJ0337128.1,410
XP_036577441.1,409
KAH7117504.1,410
KAF6812053.1,407
XP_003066912.1,387,RE|1|25|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|145|328|#7df62d|PF00264_Common central domain of tyrosinase
KAG9679643.1,404
KAG9562119.1,404
OLN81434.1,405
KAG9512844.1,665,HH|51|281|#b42256|PF13561_Enoyl-(Acyl carrier protein) reductase,HH|368|602|#7df62d|PF00264_Common central domain of tyrosinase
KAF2641664.1,413
KAI0391311.1,414,RE|1|19|#27220e|SignalP-TM_SignalP-TM,RE|1|17|#eebe41|SignalP-noTM_SignalP-noTM,HH|115|352|#7df62d|PF00264_Common central domain of tyrosinase
KAH7242329.1,403
KAF4993911.1,403
RKK06848.1,403
KAG5762718.1,403
KAG5749782.1,403
KAJ4263103.1,403
KAG9665964.1,404
XP_007827507.1,393
KAG9596883.1,404
KAK1545570.1,411
XP_044649219.1,413,RE|1|19|#27220e|SignalP-TM_SignalP-TM,RE|1|22|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|108|351|#7df62d|PF00264_Common central domain of tyrosinase
KAF4462292.1,911,RE|1|28|#27220e|SignalP-TM_SignalP-TM,HH|389|636|#4190e9|PF00999_Sodium/hydrogen exchanger family,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|108|342|#7df62d|PF00264_Common central domain of tyrosinase,EL|414|436|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|863|885|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|716|738|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|541|563|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|596|618|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|821|843|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|443|465|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|504|526|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|475|497|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.
KAF7550898.1,405
KAH7006753.1,410
KAF1975455.1,410
KAH0023348.1,404
CAD0111935.1,404
KAF4966619.1,403
KAG5662435.1,403
TEA18662.1,411
KAH6953143.1,403
KIL90485.1,403
KAF7533565.1,2872
KAK0377569.1,410
KAF7560785.1,408
TQN67016.1,408
CAD0091988.1,404
KAI7972646.1,331,HH|86|272|#7df62d|PF00264_Common central domain of tyrosinase
XP_049172709.1,393
KAI1842999.1,393
KAF4451843.1,400
KAI1880091.1,393
KMM68346.1,395
KAI0593553.1,396
TDZ31720.1,411
CAJ0551081.1,403
KAF7536896.1,394,HH|101|334|#7df62d|PF00264_Common central domain of tyrosinase
RKU47247.1,402,RE|1|27|#27220e|SignalP-TM_SignalP-TM,RE|1|17|#eebe41|SignalP-noTM_SignalP-noTM,HH|107|342|#7df62d|PF00264_Common central domain of tyrosinase
KAK0613497.1,410
KAF3012805.1,392
KAG7285381.1,397
XP_040875327.1,404
KAJ4130067.1,403
KAK0733780.1,425,HH|129|363|#7df62d|PF00264_Common central domain of tyrosinase
KAI1066680.1,403
XP_031012908.1,403
XP_038748636.1,808,HH|394|734|#478aa4|PF07690_Major Facilitator Superfamily,RE|1|28|#27220e|SignalP-TM_SignalP-TM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|107|341|#7df62d|PF00264_Common central domain of tyrosinase,EL|392|411|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|418|440|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|748|770|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|577|594|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|450|472|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|517|539|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|485|507|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|643|662|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|685|707|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.,EL|609|630|#3cbbe1|TMhelix_Region of a membrane-bound protein predicted to be embedded in the membrane.
KAJ9620151.1,395
XP_051363100.1,408,RE|1|19|#27220e|SignalP-TM_SignalP-TM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|19|#eebe41|SignalP-noTM_SignalP-noTM,HH|112|346|#7df62d|PF00264_Common central domain of tyrosinase
KAF2440766.1,409
XP_045990202.1,403
KAJ4013957.1,403
KAJ6033027.1,309
OLN85068.1,398
KAJ5981651.1,316,HH|75|195|#7df62d|PF00264_Common central domain of tyrosinase,HH|208|257|#7df62d|PF00264_Common central domain of tyrosinase
TIA55583.1,404
XP_043022936.1,410
RMX76484.1,342
XP_020134323.1,409
KAF9735418.1,410
THY78046.1,404
THV96826.1,404
THY38915.1,404
THY01165.1,404
CAG7565237.1,403
